PowerPeriod,PowerDate,ball_1,ball_2,ball_3,ball_4,ball_5,special
00001,29/06/2025,7,9,10,16,19,9
00002,29/06/2025,6,12,14,18,25,8
00003,30/06/2025,2,8,16,23,24,9
00004,30/06/2025,1,12,13,27,28,7
00005,01/07/2025,1,18,25,27,33,5
00006,01/07/2025,5,18,20,30,34,7
00007,02/07/2025,13,20,23,27,35,1
00008,02/07/2025,9,11,27,29,35,9
00009,03/07/2025,28,32,33,34,35,8
00010,03/07/2025,10,23,24,30,33,6
00011,04/07/2025,1,3,7,10,24,8
00012,04/07/2025,3,18,20,29,34,3
00013,05/07/2025,5,14,15,23,34,5
00014,05/07/2025,3,13,19,25,29,7
00015,06/07/2025,3,11,12,27,32,10
