PowerPeriod,PowerDate,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6
1,20/07/2016,2,17,33,37,38,45
2,22/07/2016,3,4,14,20,25,35
3,24/07/2016,1,10,16,18,23,38
4,27/07/2016,14,17,21,25,31,37
5,29/07/2016,3,8,13,20,30,36
6,31/07/2016,2,6,19,21,35,39
7,3/8/2016,7,10,25,27,29,40
8,5/8/2016,3,9,13,18,24,31
9,7/8/2016,3,5,17,22,30,31
10,10/8/2016,6,15,16,19,27,30
11,12/8/2016,28,31,34,37,38,41
12,14/08/2016,13,16,17,29,31,37
13,17/08/2016,2,4,9,19,21,26
14,19/08/2016,11,12,17,33,34,36
15,21/08/2016,13,21,24,25,29,44
16,24/08/2016,8,17,21,23,36,40
17,26/08/2016,10,36,39,43,44,45
18,28/08/2016,4,6,10,15,16,44
19,31/08/2016,8,20,21,31,34,39
20,2/9/2016,9,13,24,35,36,41
21,4/9/2016,11,15,20,24,27,45
22,7/9/2016,6,8,12,13,15,19
23,9/9/2016,7,13,16,18,31,32
24,11/9/2016,6,9,10,18,20,31
25,14/09/2016,2,11,14,23,25,32
26,16/09/2016,4,5,6,23,31,34
27,18/09/2016,7,10,17,20,25,32
28,21/09/2016,5,12,15,30,37,41
29,23/09/2016,8,14,19,29,30,40
30,25/09/2016,1,20,28,32,42,44
31,28/09/2016,3,6,17,21,32,40
32,30/09/2016,6,20,30,38,40,45
33,2/10/2016,16,23,27,34,35,38
34,5/10/2016,5,6,19,31,42,44
35,7/10/2016,24,25,27,34,44,45
36,9/10/2016,2,15,20,32,33,44
37,12/10/2016,2,8,15,16,19,25
38,14/10/2016,3,7,9,18,28,39
39,16/10/2016,5,21,31,33,38,42
40,19/10/2016,2,13,15,17,18,41
41,21/10/2016,16,17,30,32,34,38
42,23/10/2016,2,5,12,21,22,40
43,26/10/2016,1,8,16,18,21,28
44,28/10/2016,10,11,13,14,16,38
45,30/10/2016,7,12,25,28,40,44
46,2/11/2016,3,5,8,10,13,22
47,4/11/2016,5,13,22,24,28,32
48,6/11/2016,4,15,16,20,26,41
49,9/11/2016,2,10,14,24,25,30
50,11/11/2016,10,17,22,23,30,36
51,13/11/2016,11,23,25,34,36,45
52,16/11/2016,1,9,17,28,43,44
53,18/11/2016,11,12,16,24,26,31
54,20/11/2016,9,23,33,38,41,42
55,23/11/2016,2,22,23,24,28,37
56,25/11/2016,3,4,25,31,37,40
57,27/11/2016,12,16,17,18,22,30
58,30/11/2016,6,15,17,20,23,41
59,2/12/2016,17,26,33,34,37,42
60,4/12/2016,3,5,13,27,38,44
61,7/12/2016,13,23,27,28,32,45
62,9/12/2016,11,12,15,17,21,26
63,11/12/2016,2,3,4,5,22,24
64,14/12/2016,5,6,12,16,26,30
65,16/12/2016,5,8,33,34,39,44
66,18/12/2016,3,7,30,32,41,43
67,21/12/2016,3,6,12,14,18,40
68,23/12/2016,1,17,24,25,37,43
69,25/12/2016,5,12,20,29,34,36
70,28/12/2016,2,22,25,33,38,43
71,30/12/2016,7,23,27,29,35,37
72,1/1/2017,9,18,24,33,36,39
73,4/1/2017,4,19,25,27,29,31
74,6/1/2017,22,30,34,36,43,45
75,8/1/2017,12,18,29,32,39,45
76,11/1/2017,2,8,21,29,37,45
77,13/01/2017,12,24,29,32,37,39
78,15/01/2017,5,25,27,29,31,43
79,18/01/2017,11,22,26,28,35,43
80,20/01/2017,1,11,31,32,34,37
81,22/01/2017,1,20,21,22,26,29
82,25/01/2017,6,9,14,18,28,30
83,29/01/2017,5,13,21,27,29,45
84,1/2/2017,2,10,11,18,22,33
85,3/2/2017,8,17,31,32,33,39
86,5/2/2017,1,11,26,29,34,40
87,8/2/2017,15,26,29,32,34,38
88,10/2/2017,2,6,10,13,20,28
89,12/2/2017,4,6,12,21,23,28
90,15/02/2017,4,16,19,27,29,30
91,17/02/2017,12,15,25,27,37,41
92,19/02/2017,1,17,24,25,33,35
93,22/02/2017,1,3,8,18,28,42
94,24/02/2017,2,4,19,23,44,45
95,26/02/2017,7,11,16,19,38,39
96,1/3/2017,3,4,26,30,35,44
97,3/3/2017,2,4,13,22,23,41
98,5/3/2017,18,21,24,26,39,45
99,8/3/2017,5,11,14,20,32,42
100,10/3/2017,4,9,21,27,38,44
101,12/3/2017,6,11,30,32,35,42
102,15/03/2017,3,9,10,31,32,40
103,17/03/2017,7,12,24,43,44,45
104,19/03/2017,1,2,6,12,31,36
105,22/03/2017,1,9,24,28,33,36
106,24/03/2017,10,14,30,32,37,42
107,26/03/2017,6,12,23,25,29,43
108,29/03/2017,4,5,24,26,28,37
109,31/03/2017,1,4,5,11,20,30
110,2/4/2017,3,5,7,12,27,33
111,5/4/2017,13,14,20,21,23,33
112,7/4/2017,4,5,16,17,32,40
113,9/4/2017,5,8,21,25,26,37
114,12/4/2017,2,3,8,13,19,41
115,14/04/2017,4,5,10,33,36,38
116,16/04/2017,6,7,18,29,32,44
117,19/04/2017,19,20,32,33,38,44
118,21/04/2017,7,8,15,30,32,39
119,23/04/2017,13,17,22,30,31,43
120,26/04/2017,14,16,17,20,35,39
121,28/04/2017,2,9,11,12,15,23
122,30/04/2017,2,6,8,11,12,25
123,3/5/2017,3,19,20,21,25,45
124,5/5/2017,4,9,12,32,36,43
125,7/5/2017,1,7,28,32,44,45
126,10/5/2017,7,17,21,29,40,44
127,12/5/2017,1,27,35,42,43,45
128,14/05/2017,13,15,17,21,25,40
129,17/05/2017,7,8,11,18,23,42
130,19/05/2017,1,8,18,28,30,33
131,21/05/2017,11,14,17,22,27,42
132,24/05/2017,8,20,25,27,30,33
133,26/05/2017,6,8,25,39,40,45
134,28/05/2017,2,7,17,24,31,44
135,31/05/2017,7,13,16,30,37,44
136,2/6/2017,5,13,16,32,39,41
137,4/6/2017,1,9,23,32,34,35
138,7/6/2017,5,6,13,29,35,44
139,9/6/2017,7,15,19,24,32,42
140,11/6/2017,5,6,11,14,32,33
141,14/06/2017,5,8,15,25,31,35
142,16/06/2017,6,10,17,21,27,38
143,18/06/2017,2,8,12,14,16,26
144,21/06/2017,9,26,29,30,35,37
145,23/06/2017,9,10,21,37,40,42
146,25/06/2017,3,14,33,38,42,44
147,28/06/2017,2,6,21,28,39,40
148,30/06/2017,1,7,10,38,40,42
149,2/7/2017,1,5,7,16,19,44
150,5/7/2017,1,4,16,31,37,40
151,7/7/2017,4,19,22,30,34,35
152,9/7/2017,1,9,14,18,25,28
153,12/7/2017,5,9,14,15,26,42
154,14/07/2017,2,13,19,24,25,33
155,16/07/2017,2,10,27,29,37,39
156,19/07/2017,4,7,13,20,35,44
157,21/07/2017,5,6,9,15,19,32
158,23/07/2017,7,9,13,21,28,39
159,26/07/2017,9,26,27,30,40,44
160,28/07/2017,1,4,9,26,35,39
161,30/07/2017,8,17,24,35,41,44
162,2/8/2017,7,10,17,26,28,43
163,4/8/2017,3,12,13,23,26,37
164,6/8/2017,2,9,10,11,21,43
165,9/8/2017,11,19,22,24,25,31
166,11/8/2017,1,12,19,35,36,41
167,13/08/2017,1,3,6,7,16,18
168,16/08/2017,6,11,15,19,22,41
169,18/08/2017,3,4,18,22,34,37
170,20/08/2017,5,15,18,21,37,45
171,23/08/2017,6,25,27,34,42,43
172,25/08/2017,2,7,12,27,40,44
173,27/08/2017,3,7,16,32,36,39
174,30/08/2017,5,8,11,28,35,41
175,1/9/2017,9,10,13,19,23,41
176,3/9/2017,5,6,26,28,35,43
177,6/9/2017,5,20,24,32,36,42
178,8/9/2017,2,15,17,32,41,44
179,10/9/2017,1,22,23,35,36,42
180,13/09/2017,3,8,19,35,38,40
181,15/09/2017,3,24,35,37,40,43
182,17/09/2017,6,11,15,16,37,40
183,20/09/2017,5,7,13,17,23,33
184,22/09/2017,5,16,21,31,37,41
185,24/09/2017,4,10,11,31,36,39
186,27/09/2017,10,19,33,34,35,45
187,29/09/2017,23,28,30,35,37,42
188,1/10/2017,8,23,27,36,37,43
189,4/10/2017,4,5,9,19,37,44
190,6/10/2017,4,6,18,20,30,45
191,8/10/2017,8,16,24,27,35,39
192,11/10/2017,4,11,14,15,19,26
193,13/10/2017,10,13,20,21,25,36
194,15/10/2017,2,9,14,21,35,40
195,18/10/2017,16,24,32,36,37,40
196,20/10/2017,2,18,25,33,36,42
197,22/10/2017,8,14,16,17,31,42
198,25/10/2017,12,17,23,25,34,38
199,27/10/2017,4,10,13,21,22,38
200,29/10/2017,1,5,28,31,44,45
201,1/11/2017,4,12,25,39,42,44
202,3/11/2017,7,17,20,22,29,44
203,5/11/2017,3,17,38,39,41,44
204,8/11/2017,1,18,23,24,40,41
205,10/11/2017,1,4,19,21,24,35
206,12/11/2017,22,26,37,40,42,44
207,15/11/2017,1,9,15,27,33,43
208,17/11/2017,11,13,18,19,31,45
209,19/11/2017,14,20,30,33,41,43
210,22/11/2017,5,6,9,23,27,35
211,24/11/2017,14,24,32,34,36,45
212,26/11/2017,4,12,17,19,23,34
213,29/11/2017,19,23,26,37,38,41
214,1/12/2017,10,19,30,35,39,45
215,3/12/2017,8,9,15,18,27,30
216,6/12/2017,3,7,29,31,34,43
217,8/12/2017,2,11,15,32,40,44
218,10/12/2017,27,36,39,43,44,45
219,13/12/2017,4,7,19,24,32,38
220,15/12/2017,13,14,17,24,28,43
221,17/12/2017,4,7,16,27,40,41
222,20/12/2017,3,8,25,37,40,42
223,22/12/2017,9,13,17,22,26,33
224,24/12/2017,1,5,9,14,30,31
225,27/12/2017,9,13,19,21,27,30
226,29/12/2017,2,8,17,20,29,39
227,31/12/2017,3,13,14,26,30,34
228,3/1/2018,8,14,19,30,33,35
229,5/1/2018,19,30,34,38,42,44
230,7/1/2018,4,6,11,13,24,31
231,10/1/2018,6,18,21,22,37,45
232,12/1/2018,4,8,17,23,27,34
233,14/01/2018,1,6,10,29,32,41
234,17/01/2018,9,10,12,22,27,41
235,19/01/2018,2,4,27,28,31,36
236,21/01/2018,1,10,11,24,32,37
237,24/01/2018,5,6,24,33,42,45
238,26/01/2018,1,9,18,28,36,44
239,28/01/2018,12,26,27,33,36,37
240,31/01/2018,4,7,9,10,30,40
241,2/2/2018,2,7,14,28,42,45
242,4/2/2018,1,5,13,27,40,45
243,7/2/2018,5,7,18,26,30,36
244,9/2/2018,2,10,14,19,23,37
245,11/2/2018,5,19,27,32,41,45
246,14/02/2018,12,31,32,34,35,43
247,18/02/2018,1,5,14,16,36,38
248,21/02/2018,18,23,24,26,29,33
249,23/02/2018,5,16,19,23,29,37
250,25/02/2018,8,10,12,29,30,42
251,28/02/2018,17,19,21,23,36,40
252,2/3/2018,3,7,15,27,41,45
253,4/3/2018,4,11,19,25,32,40
254,7/3/2018,8,19,25,31,37,40
255,9/3/2018,5,10,13,19,25,44
256,11/3/2018,1,14,19,26,41,42
257,14/03/2018,12,21,23,27,31,34
258,16/03/2018,6,8,13,17,20,34
259,18/03/2018,14,21,24,28,31,40
260,21/03/2018,6,19,38,40,41,44
261,23/03/2018,3,6,12,22,26,35
262,25/03/2018,4,10,13,22,38,42
263,28/03/2018,12,18,31,34,35,42
264,30/03/2018,7,11,18,28,34,43
265,1/4/2018,4,12,24,33,39,43
266,4/4/2018,2,3,6,16,41,44
267,6/4/2018,1,7,8,9,36,40
268,8/4/2018,2,5,11,16,30,34
269,11/4/2018,7,20,23,25,26,39
270,13/04/2018,11,22,24,33,38,43
271,15/04/2018,3,9,13,20,30,34
272,18/04/2018,6,16,28,29,39,44
273,20/04/2018,6,9,14,30,33,42
274,22/04/2018,6,7,22,32,36,39
275,25/04/2018,4,15,17,23,29,43
276,27/04/2018,10,20,24,27,28,29
277,29/04/2018,3,10,22,23,25,43
278,2/5/2018,10,11,22,29,37,40
279,4/5/2018,9,18,25,26,27,29
280,6/5/2018,11,26,28,34,36,37
281,9/5/2018,9,15,20,30,31,33
282,11/5/2018,10,11,26,29,33,38
283,13/05/2018,6,11,16,18,27,41
284,16/05/2018,10,21,23,25,35,38
285,18/05/2018,3,18,24,29,30,35
286,20/05/2018,18,19,25,26,29,39
287,23/05/2018,13,16,25,34,37,41
288,25/05/2018,5,14,22,26,29,39
289,27/05/2018,5,9,17,18,19,22
290,30/05/2018,2,17,19,27,31,36
291,1/6/2018,6,14,19,38,43,44
292,3/6/2018,18,20,24,40,42,45
293,6/6/2018,6,20,22,26,43,44
294,8/6/2018,4,13,32,35,40,42
