Date,N1,N2,N3,N4,N5,FireBall
1/5/2021,4,7,21,30,31,10
1/8/2021,4,11,18,26,34,9
1/12/2021,1,3,11,21,25,9
1/15/2021,7,11,23,24,34,9
1/19/2021,16,22,28,32,34,4
1/22/2021,4,8,11,33,34,6
1/26/2021,13,18,20,26,31,1
1/29/2021,1,6,8,22,28,1
2/2/2021,4,5,19,33,34,8
2/5/2021,14,15,27,29,31,3
2/9/2021,8,11,16,18,32,5
2/12/2021,4,9,12,26,30,10
2/16/2021,14,15,26,32,35,4
2/19/2021,14,16,24,31,34,1
2/23/2021,4,6,11,23,26,5
2/26/2021,9,14,15,27,33,4
3/5/2021,12,23,31,33,35,7
3/9/2021,7,20,22,23,31,7
3/12/2021,6,8,9,15,21,3
3/16/2021,1,5,10,15,19,1
3/19/2021,6,10,15,19,35,10
3/23/2021,1,6,14,18,24,3
3/26/2021,8,28,30,33,34,4
3/30/2021,16,17,19,30,32,7
4/6/2021,22,32,19,29,10,4
4/9/2021,2,11,17,18,23,8
4/13/2021,10,23,25,28,32,3
4/16/2021,2,13,17,32,34,5
4/20/2021,6,13,18,22,23,2
4/23/2021,5,12,15,27,33,2
4/27/2021,9,15,16,23,26,4
4/30/2021,1,12,14,20,30,8
5/4/2021,1,8,18,26,28,4
5/7/2021,10,11,17,22,32,5
5/11/2021,10,11,27,31,32,3
5/14/2021,4,7,14,33,34,4
5/18/2021,3,7,19,24,25,5
5/21/2021,7,8,9,24,35,6
5/25/2021,2,7,8,14,19,3
5/28/2021,6,8,26,27,35,3
6/1/2021,3,7,8,22,28,8
6/4/2021,7,13,21,28,31,7
6/8/2021,19,27,29,30,33,9
6/11/2021,4,6,22,24,35,1
6/15/2021,3,24,31,33,34,7
6/18/2021,18,19,21,26,27,5
6/22/2021,13,17,21,32,35,2
6/25/2021,5,10,14,19,32,10
6/29/2021,2,4,8,10,25,9
7/2/2021,4,10,13,25,27,5
7/6/2021,6,8,9,24,35,2
7/9/2021,7,17,20,28,33,6
7/13/2021,5,9,17,19,20,1
7/16/2021,9,11,21,23,26,7
7/20/2021,16,18,25,27,29,5
7/23/2021,2,3,6,21,31,10
7/27/2021,3,15,19,24,25,17
7/30/2021,1,7,13,25,35,1
8/3/2021,8,14,24,32,34,4
8/6/2021,1,3,17,28,32,1
8/10/2021,10,17,24,29,33,4
8/13/2021,12,16,19,24,27,2
8/17/2021,6,12,27,33,35,2
8/20/2021,1,8,13,15,29,3
8/24/2021,2,16,20,22,32,6
8/27/2021,4,9,13,19,31,8
8/31/2021,2,4,11,14,15,8
9/3/2021,6,13,17,23,31,5
9/7/2021,4,9,12,17,23,6
9/10/2021,1,3,8,9,21,10
9/14/2021,13,15,20,21,23,8
9/17/2021,6,11,24,30,32,6
9/21/2021,7,15,18,20,22,10
9/24/2021,6,9,11,12,29,9
9/28/2021,6,9,11,12,29,9
10/1/2021,3,7,10,29,32,5
10/5/2021,6,14,22,24,26,10
10/8/2021,3,16,23,31,35,8
10/12/2021,4,16,23,28,33,3
10/15/2021,10,12,17,19,35,8
10/19/2021,3,20,25,26,32,10
10/22/2021,11,16,18,21,32,3
10/26/2021,3,10,23,28,30,2
10/29/2021,16,21,22,28,31,7
11/2/2021,2,4,23,29,33,6
11/5/2021,10,15,16,25,30,9
11/9/2021,7,17,25,33,35,4
11/12/2021,4,17,23,26,27,5
11/16/2021,18,21,25,28,32,4
11/19/2021,11,16,18,27,33,6
11/23/2021,19,23,24,28,35,4
11/26/2021,6,12,15,17,25,4
11/30/2021,5,18,21,25,34,7
12/3/2021,10,14,26,29,33,8
12/7/2021,2,3,9,22,23,1
12/10/2021,3,6,11,19,30,4
12/14/2021,2,5,11,22,29,8
12/17/2021,11,17,21,24,26,2
12/21/2021,3,9,24,27,28,4
12/24/2021,5,13,20,26,31,3
12/28/2021,5,20,21,23,26,9
12/31/2021,8,12,18,27,33,6
