Date,Prize/Jackpot,N1,N2,N3,N4,N5,FireBall
2022-01-04,$1.93 Million,6,10,18,26,35,3
2022-01-07,$1.94 Million,1,14,16,23,35,5
2022-01-11,$1.95 Million,9,28,29,30,33,8
2022-01-14,$1.96 Million,20,24,25,28,35,1
2022-01-18,$1.97 Million,1,11,14,25,29,4
2022-01-21,$1.98 Million,9,15,17,22,34,3
2022-01-25,$1.99 Million,9,19,22,23,29,5
2022-01-28,$2 Million,5,15,17,22,29,8
2022-02-01,$2.01 Million,1,2,10,11,21,4
2022-02-04,$2.02 Million,4,6,7,9,31,4
2022-02-08,$2.03 Million,6,8,12,32,35,5
2022-02-11,$2.04 Million,4,5,15,27,31,4
2022-02-15,$2.05 Million,1,5,14,21,22,8
2022-02-18,$2.06 Million,7,13,17,23,35,6
2022-02-22,$2.07 Million,3,6,16,17,19,10
2022-02-25,$2.08 Million,5,18,26,29,30,4
2022-03-01,$2.09 Million,4,12,15,17,29,9
2022-03-04,$2.10 Million,7,10,21,28,33,6
2022-03-08,$2.11 Million,1,21,25,34,35,2
2022-03-11,$2.12 Million,16,18,19,25,26,9
2022-03-15,$2.13 Million,8,12,15,21,29,8
2022-03-18,$2.14 Million,2,8,16,33,35,8
2022-03-22,$2.15 Million,1,7,10,18,27,6
2022-03-25,$2.16 Million,4,12,19,26,27,4
2022-03-29,$2.17 Million,1,6,23,25,32,10
2022-04-01,$2.18 Million,19,20,23,30,32,7
2022-04-05,$2.19 Million,13,16,25,31,35,5
2022-04-08,$2.20 Million,15,18,19,24,35,7
2022-04-12,$2.21 Million,3,6,13,15,34,9
2022-04-19,$2.22 Million,1,2,23,29,30,5
2022-04-22,$2.23 Million,6,9,21,28,34,5
2022-04-26,$2.24 Million,1,16,21,26,27,5
2022-04-29,$2.25 Million,12,16,23,29,30,3
2022-05-03,$2.26 Million,7,10,15,27,30,9
2022-05-06,$2.27 Million,4,24,27,29,32,7
2022-05-10,$2.28 Million,5,10,14,17,30,2
2022-05-13,$2.29 Million,6,12,16,30,34,10
2022-05-17,$2.30 Million,1,15,18,31,35,6
2022-05-20,$2.31 Million,16,18,20,25,26,9
2022-05-24,$2.32 Million,2,5,11,17,20,6
2022-05-27,$2.33 Million,2,8,12,27,34,9
2022-05-31,$2.34 Million,4,8,17,23,30,2
2022-06-03,$2.35 Million,4,6,7,14,24,3
2022-06-07,$2.36 Million,1,8,14,27,28,2
2022-06-10,$2.37 Million,5,13,18,26,30,10
2022-06-14,$2.38 Million,9,23,26,33,35,9
2022-06-17,$2.39 Million,5,15,17,19,30,4
2022-06-21,$2.40 Million,10,13,26,29,33,1
2022-06-24,$2.41 Million,8,11,22,34,35,5
2022-06-28,$2.42 Million,1,3,26,30,31,9
2022-07-01,$2.43 Million,11,15,16,21,33,2
2022-07-05,$2.44 Million,9,14,25,27,29,6
2022-07-08,$2.45 Million,4,11,13,19,22,3
2022-07-12,$2.46 Million,9,24,25,27,35,6
2022-07-15,$2.47 Million,12,19,24,27,35,7
2022-07-19,$2.48 Million,13,14,23,25,35,7
2022-07-22,$2.49 Million,1,4,16,24,32,3
2022-07-26,$2.50 Million,3,4,6,18,21,5
2022-07-29,$2.51 Million,4,6,8,17,21,8
2022-08-02,$2.52 Million,8,12,19,27,29,6
2022-08-05,$2.53 Million,1,2,15,20,29,1
2022-08-09,$2.54 Million,5,7,19,23,27,1
2022-08-12,$2.55 Million,1,19,24,25,30,8
2022-08-16,$2.56 Million,8,9,13,19,22,1
2022-08-19,$2.57 Million,5,14,19,20,30,9
2022-08-23,$2.58 Million,5,14,23,25,32,6
2022-08-26,$2.59 Million,28,24,17,21,13,10
2022-08-30,$2.60 Million,2,6,9,12,19,9
2022-09-02,$2.61 Million,4,14,27,31,33,8
2022-09-06,$2.62 Million,8,9,23,25,35,7
2022-09-09,$2.63 Million,8,9,12,22,23,2
2022-09-13,$2.64 Million,1,14,26,29,31,2
2022-09-16,$2.65 Million,12,22,24,34,35,4
2022-09-20,$2.66 Million,2,12,16,22,27,9
2022-09-23,$2.67 Million,5,10,23,29,32,9
2022-09-27,$2.68 Million,1,3,30,33,34,1
2022-09-30,$2.69 Million,2,7,15,20,27,1
2022-10-04,$2.70 Million,3,4,19,22,27,6
2022-10-07,$2.71 Million,1,2,14,18,27,2
2022-10-11,$2.72 Million,14,18,20,27,29,6
2022-10-14,$2.73 Million,1,8,21,23,29,2
2022-10-18,$2.74 Million,1,2,5,6,19,2
2022-10-21,$2.75 Million,15,16,17,23,31,2
2022-10-25,$2.76 Million,13,15,25,30,32,6
2022-10-28,$2.77 Million,3,6,12,21,29,2
2022-11-01,$2.78 Million,10,13,14,23,29,7
2022-11-04,$2.79 Million,12,17,28,30,32,2
2022-11-08,$2.80 Million,6,9,12,30,32,2
