Date,N1,N2,N3,N4,N5,FireBall
2010-12-10,10,19,22,26,28,24
2010-12-14,1,5,8,13,14,4
2010-12-17,2,11,19,26,33,7
2010-12-21,5,6,13,19,20,4
2010-12-24,8,23,24,29,31,9
2010-12-28,3,5,11,27,28,3
2010-12-31,1,6,12,21,22,1
2011-01-04,2,5,8,13,32,2
2011-01-07,2,14,16,25,35,5
2011-01-11,3,6,12,13,22,7
2011-01-14,2,16,23,27,29,1
2011-01-18,21,29,30,31,34,3
2011-01-21,10,21,24,30,35,5
2011-01-25,8,11,17,27,28,4
2011-01-28,4,9,17,25,35,1
2011-02-01,10,14,18,21,32,6
2011-02-04,3,10,13,18,19,10
2011-02-08,6,17,19,25,27,1
2011-02-11,6,7,14,18,26,4
2011-02-15,6,14,22,24,35,1
2011-02-18,9,22,26,29,30,8
2011-02-22,9,10,12,16,24,4
2011-02-25,2,6,30,34,35,1
2011-03-01,1,3,27,28,34,1
2011-03-04,3,12,19,20,28,1
2011-03-08,13,19,23,26,27,5
2011-03-11,1,4,8,20,35,2
2011-03-15,15,21,28,31,32,8
2011-03-18,10,11,14,20,25,8
2011-03-22,1,2,5,15,22,8
2011-03-25,1,15,17,29,34,3
2011-03-29,3,5,21,27,30,7
2011-04-01,1,10,18,21,31,1
2011-04-05,3,15,21,27,30,4
2011-04-08,10,19,29,34,35,4
2011-04-12,1,5,9,13,14,4
2011-04-15,15,17,25,28,31,7
2011-04-19,8,25,27,29,30,1
2011-04-26,1,9,10,25,31,9
2011-04-29,5,20,21,23,25,6
2011-05-03,11,13,14,17,27,5
2011-05-06,9,17,19,20,23,9
2011-05-10,4,10,11,24,31,3
2011-05-13,5,21,28,29,32,4
2011-05-17,3,18,21,23,35,10
2011-05-20,3,17,18,19,31,8
2011-05-24,7,11,12,15,32,10
2011-05-27,19,26,27,29,32,5
2011-05-31,1,6,27,32,35,5
2011-06-03,7,13,17,18,25,2
2011-06-07,1,12,20,26,30,9
2011-06-10,8,16,23,24,33,2
2011-06-14,6,9,14,17,18,6
2011-06-17,5,7,11,25,27,7
2011-06-21,18,20,24,25,26,7
2011-06-24,1,5,9,27,31,5
2011-06-28,1,3,14,22,28,4
2011-07-01,3,7,8,24,31,6
2011-07-05,1,4,16,19,34,10
2011-07-08,5,9,10,21,27,2
2011-07-12,8,15,16,31,35,9
2011-07-15,4,5,9,16,27,4
2011-07-19,3,17,18,20,33,2
2011-07-22,1,7,8,9,35,6
2011-07-26,10,17,22,23,32,10
2011-07-29,2,14,16,21,25,10
2011-08-02,3,4,8,14,30,1
2011-08-05,7,15,18,26,30,1
2011-08-09,5,26,29,32,35,7
2011-08-12,4,6,12,24,28,9
2011-08-16,11,15,23,29,34,8
2011-08-19,2,3,20,21,33,2
2011-08-23,1,5,20,23,35,1
2011-08-26,3,18,23,29,35,1
2011-08-30,1,6,14,22,24,4
2011-09-02,8,12,21,24,28,8
2011-09-06,6,8,10,20,25,8
2011-09-09,1,11,14,24,27,6
2011-09-13,2,5,14,17,24,8
2011-09-16,2,9,10,24,28,5
2011-09-20,4,13,19,27,30,3
2011-09-23,8,15,20,22,34,9
2011-09-27,5,11,20,22,31,8
2011-09-28,2,7,24,29,34,9
2011-09-30,4,6,11,23,34,5
2011-10-04,4,8,16,21,32,5
2011-10-07,3,4,5,16,29,8
2011-10-11,6,7,15,20,28,9
2011-10-14,4,18,24,28,34,6
2011-10-18,12,18,22,32,35,4
2011-10-21,14,16,21,22,35,7
2011-10-25,4,6,7,13,27,10
2011-11-01,7,8,15,18,31,8
2011-11-04,1,5,14,29,31,8
2011-11-08,4,18,26,27,32,3
2011-11-11,4,12,15,28,29,6
2011-11-15,3,10,11,17,21,6
2011-11-18,3,4,8,25,30,9
2011-11-22,2,13,23,24,33,6
2011-11-25,4,17,29,30,33,5
2011-11-29,1,2,6,17,25,4
2011-12-02,4,14,22,27,31,4
2011-12-06,16,27,28,31,34,4
2011-12-09,5,19,24,28,35,9
2011-12-13,3,12,14,17,25,6
2011-12-16,5,12,14,27,29,5
2011-12-20,10,20,24,31,32,8
2011-12-23,1,2,4,22,34,2
2011-12-30,11,18,23,28,32,3
2012-01-03,10,17,20,26,30,8
2012-01-06,9,10,22,23,27,2
2012-01-10,9,14,22,32,35,7
2012-01-13,1,7,9,11,21,1
2012-01-17,3,7,10,27,31,4
2012-01-20,7,8,22,28,29,2
2012-01-24,6,14,24,27,35,4
2012-01-27,2,3,22,29,35,9
2012-01-31,7,10,15,22,28,5
2012-02-03,9,11,13,17,23,7
2012-02-07,4,6,22,32,33,1
2012-02-10,1,4,6,21,23,8
2012-02-14,1,4,5,12,27,10
2012-02-17,15,18,22,31,35,3
2012-02-21,1,6,10,14,22,4
2012-02-24,4,10,12,23,28,7
2012-02-28,2,21,23,28,31,8
2012-03-02,13,18,23,28,30,9
2012-03-06,4,18,20,22,33,4
2012-03-09,3,4,16,17,29,1
2012-03-13,3,8,13,30,35,10
2012-03-16,2,6,27,30,31,9
2012-03-20,3,22,23,30,31,2
2012-03-23,15,25,27,32,35,9
2012-03-27,4,14,15,20,27,5
