Date,N1,N2,N3,N4,N5,FireBall
29.12.2020,2,10,18,20,33,5
22.12.2020,19,24,26,29,30,6
18.12.2020,4,9,12,15,17,9
15.12.2020,5,14,26,29,31,1
11.12.2020,3,14,25,33,35,2
08.12.2020,5,9,23,30,31,5
04.12.2020,1,9,19,33,35,6
01.12.2020,3,9,15,19,33,5
27.11.2020,3,9,13,14,23,3
24.11.2020,14,17,19,29,35,5
20.11.2020,13,14,23,27,33,9
17.11.2020,5,7,15,18,32,8
13.11.2020,2,11,24,28,32,7
10.11.2020,4,5,6,18,22,7
06.11.2020,2,7,20,21,27,2
03.11.2020,4,7,10,18,32,8
30.10.2020,6,7,14,17,35,9
27.10.2020,2,5,6,24,33,9
23.10.2020,7,9,13,21,24,8
20.10.2020,9,11,20,21,24,8
16.10.2020,9,18,21,32,33,10
13.10.2020,2,3,17,20,29,6
09.10.2020,3,5,6,10,17,5
06.10.2020,10,17,18,33,34,6
02.10.2020,8,9,15,18,26,9
29.09.2020,1,12,19,24,29,10
25.09.2020,2,5,20,25,35,8
22.09.2020,5,14,17,25,29,1
18.09.2020,2,9,17,24,33,9
15.09.2020,4,10,19,22,30,3
11.09.2020,2,9,22,23,34,5
08.09.2020,6,10,19,27,35,5
04.09.2020,1,7,9,16,20,5
01.09.2020,6,7,15,17,34,2
28.08.2020,10,13,16,30,34,7
25.08.2020,7,10,12,25,31,4
21.08.2020,1,21,22,25,35,4
12.11.2019,7,11,24,25,30,9
08.11.2019,10,18,26,30,32,7
05.11.2019,10,15,19,21,28,6
01.11.2019,6,7,18,19,30,3
29.10.2019,12,21,23,29,31,7
25.10.2019,19,21,22,23,24,9
22.10.2019,10,13,24,31,35,8
18.10.2019,20,24,26,27,30,7
15.10.2019,13,15,18,24,25,4
11.10.2019,10,13,20,23,27,10
08.10.2019,6,9,10,27,35,7
04.10.2019,17,27,29,31,32,5
01.10.2019,4,6,21,25,31,4
27.09.2019,5,18,22,30,31,2
24.09.2019,4,9,10,28,29,2
20.09.2019,3,7,11,27,33,1
17.09.2019,2,6,17,23,32,3
13.09.2019,3,5,18,19,34,4
10.09.2019,2,4,10,12,34,9
06.09.2019,5,10,14,17,18,4
03.09.2019,1,11,26,30,31,2
30.08.2019,12,19,20,22,33,6
27.08.2019,8,15,28,30,35,10
23.08.2019,2,4,8,13,29,3
20.08.2019,7,8,9,23,30,6
16.08.2019,3,19,20,24,35,10
13.08.2019,7,11,12,16,27,9
09.08.2019,3,8,23,34,35,10
06.08.2019,16,18,21,28,30,3
02.08.2019,4,11,24,25,28,6
30.07.2019,4,8,16,21,26,9
26.07.2019,7,11,13,15,22,3
23.07.2019,2,3,11,24,30,8
19.07.2019,22,24,25,26,29,1
16.07.2019,4,10,14,21,22,8
12.07.2019,2,9,15,18,20,8
09.07.2019,7,12,23,30,31,7
05.07.2019,1,17,23,27,28,8
02.07.2019,9,15,16,21,30,1
28.06.2019,5,15,16,20,24,8
25.06.2019,13,18,25,32,35,7
21.06.2019,1,7,11,16,26,10
18.06.2019,4,8,9,27,32,8
14.06.2019,3,8,15,24,30,4
11.06.2019,2,7,20,31,34,8
07.06.2019,1,3,18,19,21,1
04.06.2019,11,14,20,26,32,7
31.05.2019,10,17,24,26,34,9
28.05.2019,10,11,15,25,31,1
24.05.2019,12,15,20,22,26,4
21.05.2019,3,5,11,16,18,5
17.05.2019,4,8,15,16,18,5
14.05.2019,11,20,23,25,33,10
10.05.2019,8,12,14,27,31,4
07.05.2019,6,11,14,15,29,5
03.05.2019,12,13,14,28,35,1
30.04.2019,19,27,28,29,33,8
26.04.2019,6,10,22,24,25,2
23.04.2019,5,30,31,32,34,5
16.04.2019,9,11,14,20,33,2
12.04.2019,1,3,6,8,16,8
09.04.2019,6,12,22,29,30,7
05.04.2019,14,16,28,29,35,4
02.04.2019,21,23,26,28,32,7
29.03.2019,18,23,31,34,35,1
26.03.2019,8,23,24,26,32,7
